x,y,z,LR
-50.18928,-9.375192,32.579132,L
-52.2805,-7.0782104,30.032566,L
-20.570202,-38.737953,64.87261,L
-22.048563,-42.54769,58.884228,L
-22.2834,-38.544308,61.42507,L
-48.41313,-30.230738,57.07371,L
-44.287464,-35.132744,52.619152,L
-44.90856,-32.506435,49.438427,L
-39.95229,-32.521458,43.76061,L
-8.318734,-8.365759,71.02633,L
-4.157998,-12.683649,69.02659,L
-7.294562,-12.525783,73.26546,L
-18.694544,-30.538605,74.727684,L
-13.679884,-31.848347,76.13047,L
-18.168468,-35.63093,73.031555,L
-20.312872,-40.667572,68.58165,L
